length,velocity
81.6845,0.739424
83.2093,0.920141
94.863,1.17121
95.5164,0.736665
102.269,1.13535
110.655,0.921521
121.982,1.10224
124.269,0.95187
134.834,1.21536
139.735,1.06775
143.111,1.30365
145.181,1.12017
150.517,1.07327
161.409,1.47057
165.329,1.3809
170.666,1.41401
176.874,1.17673
182.32,1.65956
182.647,1.51334
185.152,1.23191
204.865,1.2802
205.627,1.46781
212.924,1.41677
217.499,1.66508
225.558,1.40435
227.736,1.42229
246.034,1.45264
246.469,1.53127
251.37,1.5699
181.775,2.01962
194.954,2.15895
206.607,2.06652
213.142,1.93823
229.152,2.52728
229.152,2.52728
253.984,2.30242
260.301,1.99065
266.618,1.66232
272.717,1.70923
291.668,2.24172
297.876,2.29001
297.658,2.46796
