somite,PSM length
2.13028,0.575899
3.05866,0.580732
4.17663,0.774073
5.08418,0.6455
6.02409,0.703076
6.90091,0.762192
8.06994,0.710454
9.16584,0.785899
12.0246,1.06102
13.0641,1.05424
13.9444,1.46392
15.0007,1.24696
14.9632,1.32296
15.9418,1.2898
16.9777,1.32878
18.0076,1.44222
18.0754,1.38096
19.1026,1.13374
19.1626,1.36799
20.1162,1.25416
21.1686,1.28306
21.9858,1.30106
23.1424,1.40444
24.0875,1.20064
25.0894,1.26986
26.0397,1.19714
27.0277,1.24386
28.0539,1.20683
28.1554,1.11921
29.324,1.2699
30.0562,1.16844
30.1131,1.04668
31.0969,1.14693
31.1983,1.0593
32.2339,1.10139
33.0009,0.958826
33.0382,0.885927
34.0379,0.786068
35.1348,0.652878
36.1233,0.889628
36.8094,0.774972
38.0423,0.711612
39.0822,0.699404
39.1332,0.652878
40.1322,0.56155
40.1421,0.635234
40.1959,0.750034
41.0417,0.605936
42.2739,0.551883
42.2535,0.610049
43.2458,0.602485
43.3047,0.653686
44.1262,0.617392
44.9077,0.490345
46.0191,0.568121
46.9855,0.491524
48.1144,0.547586
49.1505,0.781243
50.1504,0.482055
52.1495,0.483218
53.1266,0.469447
