somite,somite size
2.59088,52.3335
3.63531,54.736
4.45283,42.9633
5.37073,50.7847
6.30913,60.4821
7.46037,51.8377
9.04751,57.3697
10.1959,62.0657
10.7835,50.5002
11.4895,72.5987
12.7038,62.0787
13.3538,51.9727
14.9372,75.0138
16.0256,67.0986
17.3616,74.1926
18.1569,68.9857
18.971,73.263
20.1227,62.5343
21.7252,94.5385
22.6436,99.9628
24.4378,114.771
25.1444,133.431
27.2538,140.112
28.1758,128.235
28.8425,138.244
29.985,171.08
31.0519,166.083
31.7604,175.675
32.9614,129.094
34.0256,137.125
35.0309,126.499
36.3422,152.249
39.8954,149.975
41.3572,155.089
40.5692,126.111
41.2573,133.202
43.9753,127.588
45.0807,138.433
47.6492,147.826
46.7756,128.437
46.2787,106.131
48.9515,116.775
51.3571,105.636
52.5691,106.268
53.8248,97.9366
