days,axis length
8.30752,0.397319
8.37106,0.525131
8.44415,0.463346
8.45576,0.633935
8.52308,0.586382
8.58084,0.69051
8.66555,0.823011
8.82337,0.94586
8.92538,1.04988
9.01775,1.1018
9.09288,1.34333
9.16597,1.28628
9.21623,1.8928
9.27401,2.04906
9.32809,2.57973
9.34744,2.84983
9.42633,2.8686
9.47073,3.26186
9.53238,3.45129
9.61132,3.6075
9.68058,3.5789
9.67684,3.87748
9.77689,3.87251
9.77118,4.0384
9.86542,3.92917
10.0233,4.27477
10.1239,5.68211
10.2299,6.10366
10.3916,6.30707
10.2956,6.73384
10.4495,6.72873
10.5266,7.01291
10.5921,7.35399
10.7269,7.62855
10.6635,7.90832
10.8311,8.45295
10.9409,8.77022
10.8179,9.16388
10.9567,9.74175
11.0296,9.30556
11.2184,9.88331
11.4784,10.5699
11.5557,11.328
11.4191,11.48
11.6405,11.6833
11.7464,11.9389
12.0101,12.2748
12.1179,12.4546
12.2087,13.4829
11.9358,14.2608
12.1476,14.4735
12.3341,14.2361
12.4242,13.4871
12.6881,14.2874
12.5556,14.9465
12.7768,14.6189
12.9268,14.5285
12.8886,15.2301
13.0558,14.8695
