days,axis length
8.28076,0.838141
8.3366,0.965971
8.39051,1.07011
8.46365,1.13155
8.52145,1.32572
8.5927,1.48669
8.65241,1.66664
8.7352,1.81337
8.78143,1.96018
8.84332,2.76098
8.91648,2.88877
8.97426,3.04503
9.03035,3.81267
9.08997,3.74617
9.16503,3.79339
9.14207,4.13942
9.23056,4.10603
9.31727,4.43758
9.4136,4.75015
9.40221,5.14354
9.45999,5.31876
9.52745,5.61243
9.61223,5.92503
9.59884,6.14307
9.67202,6.30877
9.74891,6.12376
9.74526,6.6214
9.88778,7.00021
10.0706,6.98555
9.8495,7.50741
9.99776,7.79141
9.89786,8.18028
9.99812,8.72506
10.1329,8.85744
10.1272,9.12286
10.0676,9.35523
10.2869,9.07509
10.2043,9.56817
10.4392,9.85198
10.5373,9.81857
10.6469,9.78514
10.7316,9.93185
10.6529,10.2259
10.8646,10.4623
10.9513,10.8745
10.7109,11.0219
10.8535,11.5145
10.9477,11.3579
11.0689,11.2628
10.944,11.737
11.0613,11.5756
11.1594,11.547
11.1691,11.8787
11.2884,11.7599
11.377,12.0109
11.4945,12.5082
11.6427,12.6027
11.8491,13.8771
12.0508,12.9524
12.488,14.2594
12.5687,13.9607
12.6825,14.676
12.8306,14.5525
12.8846,14.8177
12.9846,14.718
13.075,14.6182
